,Bike#,start_ts,end_ts,Latitude,Longitude,Latitude_end,Longitude_end,Start Station,End Station,Start terminal,End terminal
331,N01697,2013-07-28 17:25:00,2013-07-28 17:30:00,44.97913,-93.23189,44.987517,-93.230469,4th Street & 17th Ave. SE,15th Ave. SE & Como Ave. SE,30032,30110.0
332,N01697,2013-07-28 16:05:00,2013-07-28 16:15:00,45.006229,-93.271571,45.00994,-93.247114,Marshall Street NE & 18th Ave NE,Central Ave. NE & 22nd Ave NE,30169,30112.0
333,N01697,2013-07-28 17:42:00,2013-07-28 17:46:00,44.981343,-93.193977,44.984527,-93.185029,Carter Ave & Como Ave,U of M St. Paul Student Center,30108,30113.0
334,N01697,2013-06-15 12:10:00,2013-06-15 13:11:00,44.972217,-93.27643499999999,44.980558,-93.181384,YWCA Downtown,U of M St. Paul Campus,30006,30115.0
335,N01697,2013-07-28 17:46:00,2013-07-28 17:48:00,44.984527,-93.185029,44.980558,-93.181384,U of M St. Paul Student Center,U of M St. Paul Campus,30113,30115.0
336,N01697,2013-07-28 10:18:00,2013-07-28 10:21:00,44.945173,-93.103863,44.949053,-93.10673,Kellogg Blvd W & Smith Ave,Minnesota History Center,30124,30116.0
337,N01697,2013-07-28 10:22:00,2013-07-28 10:24:00,44.949053,-93.10673,44.948316999999996,-93.11054399999999,Minnesota History Center,Saint Paul College,30116,30122.0
338,N01697,2013-07-28 10:15:00,2013-07-28 10:18:00,44.94144,-93.10624,44.945173,-93.103863,7th Street W & Grand Ave,Kellogg Blvd W & Smith Ave,30135,30124.0
339,N01697,2013-07-28 10:03:00,2013-07-28 10:05:00,44.943846,-93.09227,44.945267,-93.096114,Kellogg Blvd & Wabasha Street,Landmark Plaza,30132,30127.0
340,N01697,2013-07-25 10:14:00,2013-07-25 11:47:00,44.943846,-93.09227,44.943846,-93.09227,Kellogg Blvd & Wabasha Street,Kellogg Blvd & Wabasha Street,30132,30132.0
341,N01697,2013-07-24 18:50:00,2013-07-24 18:59:00,44.94144,-93.10624,44.943846,-93.09227,7th Street W & Grand Ave,Kellogg Blvd & Wabasha Street,30135,30132.0
342,N01697,2013-07-28 10:08:00,2013-07-28 10:10:00,44.942846,-93.097836,44.940902,-93.098712,Science Museum of Minnesota,Upper Landing,30136,30134.0
343,N01697,2013-07-28 10:11:00,2013-07-28 10:15:00,44.940902,-93.098712,44.94144,-93.10624,Upper Landing,7th Street W & Grand Ave,30134,30135.0
344,N01697,2013-07-20 16:35:00,2013-07-20 17:02:00,44.940288,-93.197997,44.94144,-93.10624,Mississippi River Blvd & Summit Ave,7th Street W & Grand Ave,30162,30135.0
345,N01697,2013-07-28 10:05:00,2013-07-28 10:07:00,44.945267,-93.096114,44.942846,-93.097836,Landmark Plaza,Science Museum of Minnesota,30127,30136.0
346,N01697,2013-07-28 10:24:00,2013-07-28 10:27:00,44.948316999999996,-93.11054399999999,44.9467,-93.1151,Saint Paul College,Selby Ave & Virginia Street,30122,30137.0
